,곡명,아티스트,앨범,좋아요수
228,기다리는 아픔,유상록,유상록의 Remake 조용필 Best 1,163
229,봄날은 간다,조용필,조용필 옛노래,681
230,HOT 일편단심 민들레야,조용필,30주년 기념음반 Part 2,"1,272"
231,타타타,권윤경,"짚시 로망스 카페노래 1, 2 (조용필 & 나훈아 힛트곡편)",36
232,내 이름은 구름이여,조용필,조용필,"1,079"
233,HOT 돌아와요 부산항에,조용필,30주년 기념 음반 Part 1,562
234,서울 서울 서울,조용필,'88 조용필 10집,"2,271"
235,바람의 노래,조용필,조용필 40주년 기념 콘서트 - The History 킬리만자로의 표범,"1,671"
236,강원도 아리랑,조용필,조용필 3집,679
237,고추잠자리,조용필,조용필 3집,"1,809"
238,HOT 비련,조용필,조용필 4집,"1,995"
239,HOT 한오백년,조용필,조용필 1집 (Remastered),"1,217"
240,HOT 물망초,조용필,조용필 3집,738
241,HOT 애상,조용필,조용필 16집,355
242,HOT 세월,조용필,조용필 2집,345
243,그래도 돼,조용필,20,"6,944"
244,기다리는 아픔,조용필,조용필 40주년 기념 콘서트 - The History 킬리만자로의 표범,747
245,추억 속의 재회,조용필,조용필 BEST 1집,926
246,꿈 (2024 Remastered Ver.),조용필,웰컴투 삼달리 X 조용필 (2024 Remastering),"1,088"
247,사랑은 아직도 끝나지 않았네,조용필,조용필 1집 (Remastered),751
248,못찾겠다 꾀꼬리,조용필,조용필 4집,"2,172"
249,잊혀진 사랑,조용필,조용필 1집 (Remastered),684
250,HOT 걷고 싶다,조용필,45TH ANNIVERSARY CONCERT HELLO,"1,540"
